Postcode,In Use?,Latitude,Population,Longitude,Postcode district,Postcode area,Average Income,LSOA code,County
NW3 1AA,Yes,51.559003,21,-0.177786,NW3,NW,88400,E01000899,Greater London
NW3 1BJ,Yes,51.558373,43,-0.172589,NW3,NW,88400,E01000894,Greater London
NW3 1DB,Yes,51.557946,6,-0.176328,NW3,NW,88400,E01000895,Greater London
NW3 1NG,Yes,51.555367,,-0.173377,NW3,NW,88400,E01000896,Greater London
NW3 1NY,Yes,51.555057,26,-0.170977,NW3,NW,83500,E01000897,Greater London
NW3 2AA,Yes,51.552875,,-0.16828,NW3,NW,83500,E01000898,Greater London
NW3 2AN,Yes,51.550937,97,-0.162848,NW3,NW,73100,E01000892,Greater London
NW3 2AY,Yes,51.548376,126,-0.160672,NW3,NW,73100,E01000903,Greater London
NW3 2AZ,Yes,51.54862,,-0.157695,NW3,NW,52500,E01000902,Greater London
NW3 2DG,Yes,51.554116,,-0.16373,NW3,NW,73100,E01000887,Greater London
NW3 2ES,Yes,51.546471,4,-0.155586,NW3,NW,52500,E01000900,Greater London
NW3 2HN,Yes,51.553486,30,-0.157956,NW3,NW,73100,E01000888,Greater London
NW3 2HU,Yes,51.554061,47,-0.155034,NW3,NW,73100,E01000886,Greater London
NW3 2JH,Yes,51.55308,126,-0.157295,NW3,NW,52200,E01000890,Greater London
NW3 2QD,Yes,51.555332,,-0.165527,NW3,NW,88400,E01000893,Greater London
NW3 3AA,Yes,51.544979,57,-0.162482,NW3,NW,64100,E01000845,Greater London
NW3 3AB,Yes,51.543896,23,-0.162252,NW3,NW,64100,E01000846,Greater London
NW3 3AQ,Yes,51.541735,,-0.171871,NW3,NW,66700,E01000963,Greater London
NW3 3BP,Yes,51.539962,9,-0.169884,NW3,NW,66700,E01000967,Greater London
NW3 3EP,Yes,51.54454,123,-0.168961,NW3,NW,88600,E01000844,Greater London
NW3 3ES,Yes,51.544139,5,-0.169601,NW3,NW,64100,E01000847,Greater London
NW3 4AA,Yes,51.550267,12,-0.167707,NW3,NW,88600,E01000849,Greater London
NW3 4AB,Yes,51.549752,37,-0.167569,NW3,NW,88600,E01000848,Greater London
NW3 4AF,Yes,51.54664,,-0.171404,NW3,NW,88600,E01000842,Greater London
NW3 4DU,Yes,51.548425,140,-0.17182,NW3,NW,83500,E01000882,Greater London
NW3 4EH,Yes,51.545869,90,-0.174013,NW3,NW,83500,E01000883,Greater London
NW3 4ND,Yes,51.546983,46,-0.164176,NW3,NW,64100,E01000843,Greater London
NW3 5BT,Yes,51.551252,19,-0.175514,NW3,NW,83500,E01000881,Greater London
NW3 5RE,Yes,51.552137,17,-0.177343,NW3,NW,87100,E01000879,Greater London
NW3 6BF,Yes,51.549404,37,-0.184531,NW3,NW,73300,E01000972,Greater London
NW3 6BH,Yes,51.551705,91,-0.181962,NW3,NW,87100,E01000880,Greater London
NW3 6DL,Yes,51.552849,48,-0.18748,NW3,NW,87100,E01000878,Greater London
NW3 6ET,Yes,51.5512,,-0.18478,NW3,NW,73300,E01000969,Greater London
NW3 6HS,Yes,51.553118,58,-0.189551,NW3,NW,72300,E01000874,Greater London
NW3 6HX,Yes,51.54234,24,-0.175496,NW3,NW,66700,E01000961,Greater London
NW3 6JP,Yes,51.544722,,-0.176583,NW3,NW,66700,E01000960,Greater London
NW3 6PZ,Yes,51.55803,98,-0.180566,NW3,NW,87100,E01000885,Greater London
NW3 7AJ,Yes,51.559258,109,-0.196434,NW3,NW,87100,E01000884,Greater London
NW3 7BB,Yes,51.554403,70,-0.19202,NW3,NW,72300,E01000877,Greater London
NW4 1AA,Yes,51.592278,13,-0.221975,NW4,NW,54400,E01000241,Greater London
NW4 1AB,Yes,51.592209,4,-0.223092,NW4,NW,51700,E01000243,Greater London
NW4 1AQ,Yes,51.591287,25,-0.212399,NW4,NW,51700,E01000242,Greater London
NW4 1HE,Yes,51.596816,34,-0.220585,NW4,NW,54400,E01000240,Greater London
NW4 1PS,Yes,51.599514,,-0.225739,NW4,NW,60800,E01000260,Greater London
NW4 1PX,Yes,51.604973,,-0.224573,NW4,NW,60800,E01000259,Greater London
NW4 1RR,Yes,51.590078,17,-0.223147,NW4,NW,51700,E01000244,Greater London
NW4 1WQ,Yes,51.587946,,-0.221916,NW4,NW,51700,E01000245,Greater London
NW4 2AD,Yes,51.58632,110,-0.219035,NW4,NW,51700,E01000237,Greater London
NW4 3AF,Yes,51.585105,65,-0.231695,NW4,NW,54400,E01000309,Greater London
NW4 3AQ,Yes,51.584531,,-0.229786,NW4,NW,51700,E01000314,Greater London
NW4 3AU,Yes,51.584252,46,-0.229176,NW4,NW,56000,E01000310,Greater London
NW4 3BE,Yes,51.578944,,-0.235531,NW4,NW,51600,E01000306,Greater London
NW4 3SS,Yes,51.580682,102,-0.235966,NW4,NW,51600,E01000313,Greater London
NW4 4BF,Yes,51.589168,,-0.229199,NW4,NW,54400,E01000239,Greater London
NW5 1AH,Yes,51.556037,94,-0.140445,NW5,NW,70600,E01000928,Greater London
NW5 1AN,Yes,51.557873,114,-0.141319,NW5,NW,70600,E01000911,Greater London
NW5 1BE,Yes,51.556874,,-0.145832,NW5,NW,60700,E01000912,Greater London
NW5 1BH,Yes,51.557051,,-0.146214,NW5,NW,70600,E01000910,Greater London
NW5 1WB,Yes,51.550837,,-0.146726,NW5,NW,52200,E01000922,Greater London
NW5 2AD,Yes,51.548329,19,-0.140961,NW5,NW,57100,E01000870,Greater London
NW5 2BA,Yes,51.548725,114,-0.133211,NW5,NW,57100,E01000925,Greater London
NW5 2HB,Yes,51.552811,6,-0.140804,NW5,NW,70600,E01000923,Greater London
NW5 3AF,Yes,51.547536,,-0.14725,NW5,NW,52200,E01000901,Greater London
NW5 3AS,Yes,51.54953,53,-0.147674,NW5,NW,52200,E01000889,Greater London
NW5 4AU,Yes,51.552539,19,-0.150883,NW5,NW,52200,E01000891,Greater London
NW6 1AX,Yes,51.549727,,-0.192018,NW6,NW,73300,E01000973,Greater London
NW6 1AY,Yes,51.549949,33,-0.19299,NW6,NW,73300,E01000970,Greater London
NW6 1BL,Yes,51.551353,113,-0.195246,NW6,NW,73300,E01000971,Greater London
NW6 1PL,Yes,51.549135,104,-0.196041,NW6,NW,58500,E01000974,Greater London
NW6 2AA,Yes,51.544904,89,-0.19244,NW6,NW,88700,E01000968,Greater London
NW6 2AE,Yes,51.544583,4,-0.196523,NW6,NW,58500,E01000931,Greater London
NW6 2JE,Yes,51.543499,20,-0.195798,NW6,NW,58500,E01000932,Greater London
NW6 2NE,Yes,51.54351,99,-0.192394,NW6,NW,88700,E01000965,Greater London
NW6 3AJ,Yes,51.542315,103,-0.186644,NW6,NW,88700,E01000966,Greater London
NW6 3AN,Yes,51.543011,61,-0.182824,NW6,NW,88700,E01000962,Greater London
NW6 3BG,Yes,51.54502,,-0.18406,NW6,NW,88700,E01000964,Greater London
NW6 4AA,Yes,51.538322,49,-0.190696,NW6,NW,48100,E01000930,Greater London
NW6 4AD,Yes,51.539875,54,-0.186453,NW6,NW,48100,E01000935,Greater London
NW6 4AR,Yes,51.540772,42,-0.182812,NW6,NW,48100,E01000934,Greater London
NW6 4BF,Yes,51.540041,,-0.193531,NW6,NW,48100,E01000933,Greater London
NW6 4BR,Yes,51.539472,,-0.187583,NW6,NW,48100,E01000929,Greater London
NW6 5AJ,Yes,51.532769,101,-0.194294,NW6,NW,46500,E01000552,Greater London
NW6 5AL,Yes,51.53364,41,-0.197918,NW6,NW,46500,E01000551,Greater London
NW6 5AT,Yes,51.531121,90,-0.199012,NW6,NW,46500,E01000544,Greater London
NW6 5DB,Yes,51.532398,72,-0.201903,NW6,NW,54200,E01004677,Greater London
NW6 5ED,Yes,51.534262,10,-0.190382,NW6,NW,67400,E01004710,Greater London
NW6 5EG,Yes,51.53283,41,-0.188492,NW6,NW,67400,E01004711,Greater London
NW6 5FE,Yes,51.527776,11,-0.195963,NW6,NW,76500,E01004708,Greater London
NW6 5JG,Yes,51.536412,23,-0.185826,NW6,NW,67400,E01004648,Greater London
NW6 6AA,Yes,51.537421,120,-0.194683,NW6,NW,57400,E01000548,Greater London
NW6 6AD,Yes,51.53606,178,-0.198558,NW6,NW,57400,E01000549,Greater London
NW6 6AE,Yes,51.53526,109,-0.200925,NW6,NW,62400,E01000583,Greater London
NW6 6DT,Yes,51.539713,101,-0.210411,NW6,NW,62400,E01000580,Greater London
NW6 7AA,Yes,51.543072,109,-0.218428,NW6,NW,61500,E01000491,Greater London
NW6 7BD,Yes,51.544888,11,-0.208362,NW6,NW,57100,E01000490,Greater London
NW6 7DR,Yes,51.542783,89,-0.206358,NW6,NW,57400,E01000546,Greater London
NW6 7EG,Yes,51.543408,80,-0.202738,NW6,NW,57400,E01000545,Greater London
NW6 7ER,Yes,51.539478,93,-0.199187,NW6,NW,57400,E01000547,Greater London
NW7 0AN,Yes,51.615434,,-0.241119,NW7,NW,65200,E01000258,Greater London
NW7 1AQ,Yes,51.621935,12,-0.233341,NW7,NW,59500,E01000261,Greater London
NW7 1EF,Yes,51.619066,13,-0.223153,NW7,NW,59500,E01000255,Greater London
NW7 2AW,Yes,51.607805,23,-0.233745,NW7,NW,65200,E01000256,Greater London
NW7 2JU,Yes,51.613605,17,-0.248531,NW7,NW,65200,E01000264,Greater London
NW7 2LA,Yes,51.607097,43,-0.244705,NW7,NW,47500,E01000152,Greater London
NW7 2LE,Yes,51.607106,90,-0.246466,NW7,NW,47500,E01000153,Greater London
NW7 3AA,Yes,51.624981,25,-0.251802,NW7,NW,59400,E01000228,Greater London
NW7 3JD,Yes,51.618068,24,-0.250103,NW7,NW,65200,E01000263,Greater London
NW8 0AA,Yes,51.535624,10,-0.18195,NW8,NW,67400,E01004646,Greater London
NW8 0LB,Yes,51.534041,9,-0.177875,NW8,NW,67100,E01004651,Greater London
NW8 0LH,Yes,51.534181,8,-0.177033,NW8,NW,76700,E01004649,Greater London
NW8 0PT,Yes,51.533447,49,-0.182498,NW8,NW,67400,E01004650,Greater London
NW8 6AA,Yes,51.534154,64,-0.17242,NW8,NW,76700,E01004647,Greater London
NW8 6JJ,Yes,51.534091,67,-0.170664,NW8,NW,76700,E01004724,Greater London
NW8 6PB,Yes,51.533434,,-0.172222,NW8,NW,67100,E01004726,Greater London
NW8 7EA,Yes,51.528597,,-0.166645,NW8,NW,67100,E01004725,Greater London
NW8 7HA,Yes,51.528028,3,-0.172291,NW8,NW,67100,E01004728,Greater London
NW8 8AA,Yes,51.524199,,-0.171698,NW8,NW,42300,E01033605,Greater London
NW8 8AP,Yes,51.523115,47,-0.168048,NW8,NW,42300,E01033602,Greater London
NW8 8EA,Yes,51.525868,26,-0.172583,NW8,NW,42300,E01033598,Greater London
NW8 8QH,Yes,51.527748,17,-0.17569,NW8,NW,67100,E01004729,Greater London
NW8 8RZ,Yes,51.526684,42,-0.168524,NW8,NW,42300,E01004670,Greater London
NW9 0AA,Yes,51.584509,51,-0.260414,NW9,NW,57800,E01000514,Greater London
NW9 0AF,Yes,51.594934,,-0.261016,NW9,NW,57800,E01000588,Greater London
NW9 0AP,Yes,51.587045,44,-0.259812,NW9,NW,57800,E01000520,Greater London
NW9 0AX,Yes,51.582588,66,-0.254584,NW9,NW,57800,E01000513,Greater London
NW9 0BG,Yes,51.583762,,-0.264007,NW9,NW,58400,E01000515,Greater London
NW9 0DA,Yes,51.582756,,-0.246581,NW9,NW,51600,E01000308,Greater London
NW9 0DD,Yes,51.592131,,-0.258726,NW9,NW,57800,E01000516,Greater London
NW9 0EL,Yes,51.592441,80,-0.271458,NW9,NW,57700,E01000590,Greater London
NW9 0XD,Yes,51.583032,34,-0.260662,NW9,NW,53900,E01000518,Greater London
NW9 1ZU,Yes,51.597619,,-0.245002,NW9,NW,47500,E01000154,Greater London
NW9 4AW,Yes,51.594412,,-0.25064,NW9,NW,56800,E01000155,Greater London
NW9 4BA,Yes,51.59404,,-0.249846,NW9,NW,56800,E01033572,Greater London
NW9 4BD,Yes,51.593829,,-0.250807,NW9,NW,56800,E01000148,Greater London
NW9 4BY,Yes,51.593722,,-0.243607,NW9,NW,56800,E01033573,Greater London
NW9 5AN,Yes,51.601272,41,-0.250806,NW9,NW,47500,E01000126,Greater London
NW9 5DZ,Yes,51.600382,53,-0.243365,NW9,NW,47500,E01000151,Greater London
NW9 6AQ,Yes,51.582789,,-0.2413,NW9,NW,51600,E01000150,Greater London
NW9 6AS,Yes,51.58359,26,-0.247617,NW9,NW,51600,E01000312,Greater London
NW9 6DP,Yes,51.591095,28,-0.247722,NW9,NW,56800,E01000147,Greater London
NW9 6RN,Yes,51.591888,,-0.284631,NW9,NW,57700,E01000589,Greater London
NW9 7JG,Yes,51.574325,89,-0.257036,NW9,NW,53900,E01000629,Greater London
NW9 7JH,Yes,51.574227,33,-0.256549,NW9,NW,53900,E01000624,Greater London
NW9 8AB,Yes,51.580428,7,-0.262359,NW9,NW,53900,E01000519,Greater London
NW9 8AF,Yes,51.566215,19,-0.263613,NW9,NW,49200,E01000625,Greater London
NW9 8ED,Yes,51.569858,42,-0.263253,NW9,NW,53900,E01000623,Greater London
NW9 9AW,Yes,51.585329,90,-0.281269,NW9,NW,58400,E01000591,Greater London
NW9 9DT,Yes,51.585767,73,-0.275002,NW9,NW,58400,E01000517,Greater London
OX1 1AA,Yes,51.750231,,-1.267367,OX1,OX,50300,E01028522,Oxfordshire
OX1 1AB,Yes,51.751023,,-1.258836,OX1,OX,50300,E01028521,Oxfordshire
OX1 1AD,Yes,51.758377,161,-1.273059,OX1,OX,71600,E01028551,Oxfordshire
OX1 1BZ,Yes,51.751278,,-1.270026,OX1,OX,71600,E01028549,Oxfordshire
OX1 1RP,Yes,51.74801,19,-1.261638,OX1,OX,68100,E01028543,Oxfordshire
OX1 1SN,Yes,51.746584,51,-1.25788,OX1,OX,68100,E01028544,Oxfordshire
OX1 2HP,Yes,51.758675,11,-1.261724,OX1,OX,50300,E01033282,Oxfordshire
OX1 2JQ,Yes,51.757584,82,-1.265538,OX1,OX,71600,E01028550,Oxfordshire
OX1 4LU,Yes,51.741316,39,-1.258068,OX1,OX,68100,E01028541,Oxfordshire
OX1 4SR,Yes,51.738524,2,-1.251582,OX1,OX,68100,E01028542,Oxfordshire
OX1 4XS,Yes,51.728593,18,-1.256582,OX1,OX,65800,E01028733,Oxfordshire
OX1 5AA,Yes,51.742007,1,-1.277957,OX1,OX,65800,E01028741,Oxfordshire
OX1 5AD,Yes,51.716088,40,-1.244064,OX1,OX,65800,E01028734,Oxfordshire
OX1 5AF,Yes,51.71181,,-1.289162,OX1,OX,66500,E01028751,Oxfordshire
OX1 5AL,Yes,51.715326,27,-1.244424,OX1,OX,65800,E01028735,Oxfordshire
OX1 5EP,Yes,51.726499,33,-1.286366,OX1,OX,74500,E01028711,Oxfordshire
OX1 5HP,Yes,51.712497,102,-1.311685,OX1,OX,66500,E01028752,Oxfordshire
OX1 5RP,Yes,51.705547,,-1.236743,OX1,OX,66500,E01028743,Oxfordshire
OX10 0AB,Yes,51.600434,5,-1.122884,OX10,OX,56700,E01028677,Oxfordshire
OX10 0AW,Yes,51.616399,3,-1.160534,OX10,OX,56700,E01028608,Oxfordshire
OX10 0DB,Yes,51.601019,33,-1.127811,OX10,OX,56700,E01028676,Oxfordshire
OX10 0FU,Yes,51.606566,,-1.139483,OX10,OX,56700,E01028674,Oxfordshire
OX10 0QX,Yes,51.619427,11,-1.169015,OX10,OX,54300,E01028607,Oxfordshire
OX10 1AS,Yes,51.596124,,-1.137,OX10,OX,56700,E01028617,Oxfordshire
OX10 6AA,Yes,51.613008,692,-1.088024,OX10,OX,68900,E01028601,Oxfordshire
OX10 6AD,Yes,51.568374,31,-1.076509,OX10,OX,68900,E01028620,Oxfordshire
OX10 6AS,Yes,51.552732,4,-1.102441,OX10,OX,67000,E01028644,Oxfordshire
OX10 6BF,Yes,51.620351,4,-1.105797,OX10,OX,68900,E01028599,Oxfordshire
OX10 6DB,Yes,51.617083,96,-1.079045,OX10,OX,68900,E01028602,Oxfordshire
OX10 6EZ,Yes,51.623897,33,-1.090391,OX10,OX,61200,E01028600,Oxfordshire
OX10 6JS,Yes,51.658157,4,-1.095358,OX10,OX,61200,E01028603,Oxfordshire
OX10 6JT,Yes,51.657133,4,-1.086199,OX10,OX,61200,E01028610,Oxfordshire
OX10 6QP,Yes,51.563985,5,-1.035778,OX10,OX,65700,E01028611,Oxfordshire
OX10 7BP,Yes,51.630819,,-1.141047,OX10,OX,61200,E01028606,Oxfordshire
OX10 7HP,Yes,51.647413,28,-1.167188,OX10,OX,54300,E01028605,Oxfordshire
OX10 7LN,Yes,51.666737,,-1.169899,OX10,OX,54300,E01028604,Oxfordshire
OX10 8AA,Yes,51.605948,16,-1.136612,OX10,OX,56700,E01028675,Oxfordshire
OX10 9BF,Yes,51.57216,17,-1.151652,OX10,OX,67000,E01028619,Oxfordshire
OX10 9EX,Yes,51.557537,16,-1.150063,OX10,OX,67000,E01028618,Oxfordshire
OX11 0AA,Yes,51.602154,48,-1.255728,OX11,OX,57300,E01028637,Oxfordshire
OX11 0AE,Yes,51.604785,34,-1.258082,OX11,OX,64800,E01028624,Oxfordshire
OX11 0DE,Yes,51.57372,,-1.313236,OX11,OX,62600,E01028729,Oxfordshire
OX11 0DF,Yes,51.579927,,-1.316488,OX11,OX,62600,E01028730,Oxfordshire
OX11 0DP,Yes,51.600585,40,-1.282901,OX11,OX,62600,E01028728,Oxfordshire
OX11 0DQ,Yes,51.600879,78,-1.292873,OX11,OX,62600,E01028727,Oxfordshire
OX11 0FE,Yes,51.585956,,-1.275334,OX11,OX,67000,E01028648,Oxfordshire
OX11 0GB,Yes,51.583727,,-1.265223,OX11,OX,62600,E01028712,Oxfordshire
OX11 0JR,Yes,51.600117,18,-1.310944,OX11,OX,62400,E01028732,Oxfordshire
OX11 0ZY,Yes,51.60639,,-1.239417,OX11,OX,64800,E01028623,Oxfordshire
OX11 6AB,Yes,51.613571,,-1.265319,OX11,OX,64800,E01028621,Oxfordshire
OX11 6AX,Yes,51.609633,,-1.266899,OX11,OX,64800,E01028622,Oxfordshire
OX11 7AF,Yes,51.614292,,-1.241534,OX11,OX,76700,E01028625,Oxfordshire
OX11 7BF,Yes,51.618436,,-1.258336,OX11,OX,62400,E01028753,Oxfordshire
OX11 7FE,Yes,51.618119,77,-1.242991,OX11,OX,76700,E01028626,Oxfordshire
OX11 7LS,Yes,51.614452,39,-1.23352,OX11,OX,76700,E01028627,Oxfordshire
OX11 7PU,Yes,51.611881,86,-1.23222,OX11,OX,76700,E01028629,Oxfordshire
OX11 7PY,Yes,51.61174,25,-1.224337,OX11,OX,76700,E01028628,Oxfordshire
OX11 8AJ,Yes,51.606436,56,-1.23508,OX11,OX,55900,E01028631,Oxfordshire
OX11 8AT,Yes,51.602877,14,-1.239866,OX11,OX,55900,E01028632,Oxfordshire
OX11 8AZ,Yes,51.60143,,-1.242383,OX11,OX,57300,E01028635,Oxfordshire
OX11 8BZ,Yes,51.60594,47,-1.231078,OX11,OX,55900,E01028633,Oxfordshire
OX11 8JJ,Yes,51.59675,2,-1.24632,OX11,OX,57300,E01028634,Oxfordshire
OX11 8NH,Yes,51.604362,14,-1.247147,OX11,OX,57300,E01028636,Oxfordshire
OX11 8TX,Yes,51.602156,47,-1.228615,OX11,OX,55900,E01028630,Oxfordshire
OX11 9AA,Yes,51.597567,18,-1.211874,OX11,OX,67000,E01028649,Oxfordshire
OX12 0AA,Yes,51.60358,21,-1.42339,OX12,OX,56100,E01028725,Oxfordshire
OX12 0AB,Yes,51.603216,,-1.422687,OX12,OX,56100,E01028722,Oxfordshire
OX12 0AH,Yes,51.614653,8,-1.424041,OX12,OX,56100,E01028723,Oxfordshire
OX12 0BG,Yes,51.60912,13,-1.425515,OX12,OX,56100,E01028724,Oxfordshire
OX12 0DN,Yes,51.635884,2,-1.429986,OX12,OX,66300,E01028726,Oxfordshire
OX12 0DP,Yes,51.624847,18,-1.449756,OX12,OX,66300,E01028737,Oxfordshire
OX12 0ED,Yes,51.608513,9,-1.464178,OX12,OX,55500,E01028720,Oxfordshire
OX12 0NJ,Yes,51.608738,125,-1.42848,OX12,OX,56100,E01028721,Oxfordshire
OX12 0WZ,Yes,51.588279,,-1.427392,OX12,OX,53200,E01028756,Oxfordshire
OX12 7AH,Yes,51.591088,23,-1.421065,OX12,OX,53200,E01028755,Oxfordshire
OX12 7BS,Yes,51.593232,3,-1.423432,OX12,OX,53200,E01028758,Oxfordshire
OX12 7BZ,Yes,51.596623,,-1.423911,OX12,OX,53200,E01028761,Oxfordshire
OX12 8AY,Yes,51.58737,20,-1.423826,OX12,OX,62600,E01028757,Oxfordshire
OX12 8BJ,Yes,51.599386,22,-1.339184,OX12,OX,62400,E01028731,Oxfordshire
OX12 8NH,Yes,51.525081,2,-1.415444,OX12,OX,62600,E01016287,Berkshire
OX12 9AG,Yes,51.591372,24,-1.431426,OX12,OX,53200,E01028760,Oxfordshire
OX12 9AH,Yes,51.590442,,-1.435853,OX12,OX,53200,E01028759,Oxfordshire
OX12 9NN,Yes,51.524851,4,-1.463359,OX12,OX,50700,E01016303,Berkshire
OX12 9PE,Yes,51.603728,1,-1.498832,OX12,OX,55500,E01028713,Oxfordshire
OX13 5AA,Yes,51.680354,38,-1.420316,OX13,OX,66300,E01028736,Oxfordshire
OX13 5DW,Yes,51.698005,,-1.346717,OX13,OX,66500,E01028739,Oxfordshire
OX13 5JB,Yes,51.66921,,-1.287703,OX13,OX,56400,E01028703,Oxfordshire
OX13 5JP,Yes,51.716302,1,-1.37723,OX13,OX,53800,E01028802,Oxfordshire
OX13 6BE,Yes,51.638047,8,-1.357736,OX13,OX,62400,E01028714,Oxfordshire
OX13 6BH,Yes,51.688266,,-1.292815,OX13,OX,66500,E01028738,Oxfordshire
OX13 6BP,Yes,51.696304,70,-1.29868,OX13,OX,66500,E01028750,Oxfordshire
OX13 6QS,Yes,51.702682,7,-1.268352,OX13,OX,66500,E01028744,Oxfordshire
OX14 1AG,Yes,51.670023,,-1.301891,OX14,OX,56400,E01028698,Oxfordshire
OX14 1BH,Yes,51.674812,2,-1.287223,OX14,OX,56400,E01028696,Oxfordshire
OX14 1BL,Yes,51.678025,93,-1.292104,OX14,OX,56400,E01028697,Oxfordshire
OX14 1EA,Yes,51.672526,44,-1.284571,OX14,OX,56400,E01033306,Oxfordshire
OX14 1EU,Yes,51.677001,3,-1.281982,OX14,OX,56400,E01028700,Oxfordshire
OX14 1LA,Yes,51.682103,61,-1.288482,OX14,OX,65600,E01028695,Oxfordshire
OX14 1PJ,Yes,51.682063,31,-1.27749,OX14,OX,65600,E01028699,Oxfordshire
OX14 1QH,Yes,51.685981,19,-1.274216,OX14,OX,71900,E01028693,Oxfordshire
OX14 1TU,Yes,51.666912,,-1.309443,OX14,OX,55000,E01028702,Oxfordshire
OX14 1XG,Yes,51.689614,20,-1.276432,OX14,OX,71900,E01028694,Oxfordshire
OX14 2AB,Yes,51.684505,85,-1.272475,OX14,OX,71900,E01028701,Oxfordshire
OX14 2EA,Yes,51.675484,4,-1.276495,OX14,OX,56400,E01033305,Oxfordshire
OX14 2LU,Yes,51.684562,36,-1.25794,OX14,OX,71900,E01028705,Oxfordshire
OX14 2NF,Yes,51.685238,130,-1.261053,OX14,OX,71900,E01028707,Oxfordshire
OX14 2RJ,Yes,51.68432,44,-1.262283,OX14,OX,71900,E01028706,Oxfordshire
OX14 3BF,Yes,51.655312,,-1.226509,OX14,OX,54300,E01028658,Oxfordshire
OX14 3NA,Yes,51.674054,70,-1.27279,OX14,OX,65600,E01028688,Oxfordshire
OX14 3NB,Yes,51.672551,,-1.260316,OX14,OX,65600,E01028689,Oxfordshire
OX14 4AD,Yes,51.643824,10,-1.275528,OX14,OX,62400,E01028754,Oxfordshire
OX14 5AE,Yes,51.668051,23,-1.284974,OX14,OX,55000,E01028704,Oxfordshire
OX14 5GB,Yes,51.658878,,-1.298966,OX14,OX,55000,E01028691,Oxfordshire
OX14 5HG,Yes,51.663411,34,-1.289298,OX14,OX,55000,E01028692,Oxfordshire
OX14 5LA,Yes,51.663317,4,-1.283557,OX14,OX,55000,E01028690,Oxfordshire
OX15 0AA,Yes,51.984733,,-1.323845,OX15,OX,61400,E01028482,Oxfordshire
OX15 0AD,Yes,51.981524,,-1.324186,OX15,OX,61400,E01028481,Oxfordshire
OX15 0PH,Yes,51.97826,1,-1.38451,OX15,OX,58100,E01028806,Oxfordshire
OX15 4AA,Yes,52.039414,,-1.328475,OX15,OX,60600,E01028475,Oxfordshire
OX15 4AG,Yes,52.027727,2,-1.314452,OX15,OX,60600,E01028422,Oxfordshire
OX15 4AU,Yes,52.028327,1,-1.326381,OX15,OX,51700,E01028474,Oxfordshire
OX15 4EL,Yes,52.020232,5,-1.363344,OX15,OX,60600,E01028476,Oxfordshire
OX15 4HE,Yes,52.014434,16,-1.356825,OX15,OX,60600,E01028423,Oxfordshire
OX15 4JE,Yes,51.997724,9,-1.409224,OX15,OX,51700,E01028486,Oxfordshire
OX15 5AA,Yes,52.036197,2,-1.465907,OX15,OX,51700,E01028504,Oxfordshire
OX15 5DS,Yes,52.041446,19,-1.377622,OX15,OX,51700,E01028503,Oxfordshire
OX15 5EG,Yes,51.996545,6,-1.483434,OX15,OX,51700,E01028485,Oxfordshire
OX15 5ST,Yes,52.061525,,-1.327429,OX15,OX,51600,E01032942,Oxfordshire
OX15 6AU,Yes,52.084599,3,-1.397979,OX15,OX,60600,E01028509,Oxfordshire
OX15 6AX,Yes,52.093548,3,-1.397903,OX15,OX,60600,E01028508,Oxfordshire
OX16 0AA,Yes,52.060139,3,-1.339541,OX16,OX,51600,E01028435,Oxfordshire
OX16 0AD,Yes,52.063276,,-1.342675,OX16,OX,50600,E01028430,Oxfordshire
OX16 0AS,Yes,52.058084,53,-1.353617,OX16,OX,48100,E01028448,Oxfordshire
OX16 0AX,Yes,52.061223,45,-1.353805,OX16,OX,48600,E01028454,Oxfordshire
OX16 0AY,Yes,52.059942,45,-1.354553,OX16,OX,48600,E01028449,Oxfordshire
OX16 0BB,Yes,52.055116,46,-1.359975,OX16,OX,50600,E01028434,Oxfordshire
OX16 0BU,Yes,52.06332,32,-1.347678,OX16,OX,48100,E01028447,Oxfordshire
OX16 0EG,Yes,52.066165,24,-1.366542,OX16,OX,48600,E01028453,Oxfordshire
OX16 0ET,Yes,52.060221,63,-1.359538,OX16,OX,48600,E01028450,Oxfordshire
OX16 0FQ,Yes,52.067122,,-1.368469,OX16,OX,48600,E01028451,Oxfordshire
OX16 0HB,Yes,52.064738,10,-1.352135,OX16,OX,48600,E01028452,Oxfordshire
OX16 0TH,Yes,52.062726,,-1.339051,OX16,OX,51600,E01028438,Oxfordshire
OX16 0UD,Yes,52.071796,,-1.367061,OX16,OX,58800,E01028443,Oxfordshire
OX16 1AA,Yes,52.07734,172,-1.36475,OX16,OX,58800,E01032943,Oxfordshire
OX16 1AL,Yes,52.078889,14,-1.34551,OX16,OX,58800,E01028441,Oxfordshire
OX16 1AQ,Yes,52.078354,26,-1.354507,OX16,OX,58800,E01032944,Oxfordshire
OX16 1BG,Yes,52.067864,85,-1.353155,OX16,OX,58800,E01028444,Oxfordshire
OX16 1LX,Yes,52.073743,,-1.343222,OX16,OX,48100,E01028445,Oxfordshire
OX16 1PE,Yes,52.069893,76,-1.34942,OX16,OX,48100,E01028446,Oxfordshire
OX16 3AB,Yes,52.076014,,-1.318821,OX16,OX,51600,E01028437,Oxfordshire
OX16 3HA,Yes,52.064711,77,-1.32636,OX16,OX,51600,E01028440,Oxfordshire
OX16 3LN,Yes,52.06633,39,-1.323403,OX16,OX,51600,E01032941,Oxfordshire
